N  np  isd iz0    thetainf           qinf
1 5001  0   0   9.66766111e-01   1.05470546e-01
        s0            us, m/s            q_s            theta_s        rho_w, kg/m^3      nu, m^2/s
  1.00000000e-09   4.00000000e+00   4.00000000e-04   2.00000000e-01   1.02000000e+03   1.56800000e-05
      pi0              pi1              pi2              pi3              pi5              pi6
  2.50000000e+00   8.27261483e-02   6.83211225e-01   2.70483712e-05   2.30952591e-05   6.34729156e+00
      pi7              pi8              pi9              pi12             pi13             pi17
  1.32279714e+00   5.69105691e-04   1.33151534e-02   2.65503332e-06   3.06250000e+00   2.70126199e-02
     zwt, m            z0, m           z_q, m            z1, m            h, m           g, m/s^2
  5.00000000e+00   2.44897959e-02   2.90364307e-07   9.79591837e-02   1.00000000e+00   9.80000000e+00
      Ceps1            Ceps2            Ceps3             alp              alpe            alpeps
  1.44000000e+00   1.92000000e+00   1.00000000e+00   3.00000000e-01   1.00000000e+00   7.70000000e-01
      alpv              alpT            sig0t             Cb               kp              u1log
  1.00000000e+00   1.00000000e+00   6.70000000e-01   1.80000000e+00   4.32449982e-01   3.20567561e+00
    Rd, J/kg/K       Rv, J/kg/K       cw, J/kg/K      cpd, J/kg/K          kd              sigma
  2.87000000e+02   4.61510000e+02   4.21800000e+03   1.00500000e+03   2.85714286e-01   8.66949654e+02
      T0, K            P0, Pa       rho_d0, kg/m^3     D0, m^2/s       K0, J/m/s/K        pvs0, Pa
  3.00000000e+02   1.01300000e+05   1.17653891e+00   2.59664363e-05   2.62160000e-02   3.56710931e+03
        q0            l0, J/kg         Rmin, m          Rmax, m           r0, m           a0, m/s
  2.18981665e-02   2.45000000e+06   6.00000000e-05   6.00000000e-05   6.00000000e-05   3.30904593e-01
  1.89940767e+00   1.37082686e+01   9.99999907e-01   3.26630715e+00   1.30619948e-03   1.17768099e+00  -3.99933244e-01
  1.93940376e+00   1.37557311e+01   9.99999909e-01   3.26637141e+00   1.40210525e-03   1.15328331e+00  -3.91719350e-01
  1.97939984e+00   1.38022171e+01   9.99999911e-01   3.26643881e+00   1.49810429e-03   1.12987332e+00  -3.83837793e-01
  2.01939592e+00   1.38477658e+01   9.99999913e-01   3.26650923e+00   1.59419652e-03   1.10739232e+00  -3.76268825e-01
  2.05939200e+00   1.38924140e+01   9.99999915e-01   3.26658255e+00   1.69038176e-03   1.08578614e+00  -3.68994221e-01
  2.09938808e+00   1.39361962e+01   9.99999916e-01   3.26665866e+00   1.78665975e-03   1.06500465e+00  -3.61997121e-01
  2.13938416e+00   1.39791453e+01   9.99999918e-01   3.26673745e+00   1.88303014e-03   1.04500159e+00  -3.55261957e-01
  2.17938024e+00   1.40212921e+01   9.99999920e-01   3.26681884e+00   1.97949252e-03   1.02573405e+00  -3.48774300e-01
  2.21937633e+00   1.40626657e+01   9.99999921e-01   3.26690273e+00   2.07604644e-03   1.00716221e+00  -3.42520747e-01
  2.25937241e+00   1.41032940e+01   9.99999923e-01   3.26698904e+00   2.17269138e-03   9.89249061e-01  -3.36488852e-01
  2.29936849e+00   1.41432029e+01   9.99999924e-01   3.26707767e+00   2.26942678e-03   9.71960222e-01  -3.30667045e-01
  2.33936457e+00   1.41824174e+01   9.99999926e-01   3.26716856e+00   2.36625205e-03   9.55263627e-01  -3.25044539e-01
  2.37936065e+00   1.42209610e+01   9.99999927e-01   3.26726162e+00   2.46316657e-03   9.39129355e-01  -3.19611267e-01
  2.41935673e+00   1.42588561e+01   9.99999929e-01   3.26735680e+00   2.56016968e-03   9.23529501e-01  -3.14357841e-01
  2.45935282e+00   1.42961239e+01   9.99999930e-01   3.26745401e+00   2.65726073e-03   9.08437970e-01  -3.09275480e-01
  2.49934890e+00   1.43327848e+01   9.99999931e-01   3.26755321e+00   2.75443900e-03   8.93830310e-01  -3.04355957e-01
  2.53934498e+00   1.43688580e+01   9.99999932e-01   3.26765432e+00   2.85170381e-03   8.79683638e-01  -2.99591575e-01
  2.57934106e+00   1.44043619e+01   9.99999934e-01   3.26775729e+00   2.94905442e-03   8.65976494e-01  -2.94975111e-01
  2.61933714e+00   1.44393140e+01   9.99999935e-01   3.26786206e+00   3.04649010e-03   8.52688713e-01  -2.90499780e-01
  2.65933322e+00   1.44737311e+01   9.99999936e-01   3.26796859e+00   3.14401012e-03   8.39801346e-01  -2.86159209e-01
  2.69932931e+00   1.45076291e+01   9.99999937e-01   3.26807681e+00   3.24161371e-03   8.27296583e-01  -2.81947402e-01
  2.73932539e+00   1.45410233e+01   9.99999938e-01   3.26818669e+00   3.33930014e-03   8.15157647e-01  -2.77858716e-01
  2.77932147e+00   1.45739284e+01   9.99999939e-01   3.26829818e+00   3.43706864e-03   8.03368717e-01  -2.73887827e-01
  2.81931755e+00   1.46063583e+01   9.99999940e-01   3.26841122e+00   3.53491845e-03   7.91914886e-01  -2.70029718e-01
  2.85931363e+00   1.46383264e+01   9.99999941e-01   3.26852579e+00   3.63284882e-03   7.80782080e-01  -2.66279655e-01
  2.89930971e+00   1.46698456e+01   9.99999942e-01   3.26864183e+00   3.73085896e-03   7.69956991e-01  -2.62633159e-01
  2.93930580e+00   1.47009282e+01   9.99999943e-01   3.26875932e+00   3.82894813e-03   7.59427044e-01  -2.59085998e-01
  2.97930188e+00   1.47315859e+01   9.99999944e-01   3.26887821e+00   3.92711557e-03   7.49180344e-01  -2.55634170e-01
  3.01929796e+00   1.47618302e+01   9.99999945e-01   3.26899846e+00   4.02536051e-03   7.39205619e-01  -2.52273882e-01
  3.05929404e+00   1.47916718e+01   9.99999946e-01   3.26912005e+00   4.12368219e-03   7.29492188e-01  -2.49001539e-01
  3.09929012e+00   1.48211214e+01   9.99999947e-01   3.26924294e+00   4.22207986e-03   7.20029926e-01  -2.45813735e-01
  3.13928620e+00   1.48501889e+01   9.99999948e-01   3.26936709e+00   4.32055278e-03   7.10809223e-01  -2.42707235e-01
  3.17928229e+00   1.48788840e+01   9.99999949e-01   3.26949248e+00   4.41910019e-03   7.01820949e-01  -2.39678967e-01
  3.21927837e+00   1.49072160e+01   9.99999950e-01   3.26961907e+00   4.51772134e-03   6.93056433e-01  -2.36726014e-01
  3.25927445e+00   1.49351940e+01   9.99999951e-01   3.26974685e+00   4.61641551e-03   6.84507430e-01  -2.33845600e-01
  3.29927053e+00   1.49628265e+01   9.99999951e-01   3.26987577e+00   4.71518196e-03   6.76166092e-01  -2.31035085e-01
  3.33926661e+00   1.49901219e+01   9.99999952e-01   3.27000582e+00   4.81401996e-03   6.68024947e-01  -2.28291953e-01
  3.37926269e+00   1.50170882e+01   9.99999953e-01   3.27013697e+00   4.91292878e-03   6.60076881e-01  -2.25613811e-01
  3.41925878e+00   1.50437331e+01   9.99999954e-01   3.27026919e+00   5.01190770e-03   6.52315111e-01  -2.22998377e-01
